priority,asset,local_path,exists,size_bytes,size_human,sha256,why_save
P0,best reliable action-only adapter,recovery/hlw4090/experiments_checkpoints/experiments/20260523-crc-gra-ablation-200g/action_only_proxy/train/checkpoints/final,True,92224242,87.95 MB,,"Adapter used by the clean 20260617 300-game frozen eval, win_rate=0.610000."
P0,selected 20260522-20260527 experiment archive,recovery/hlw4090/archives/liars_bar_experiments_20260522_20260527_selected_20260616.tar.gz,True,2082015362,1.94 GB,see source SHA file or hash after upload,Largest compact archive for the core CRC-GRA / HICRA / PPO / GRPO experiment lineage.
P0,20260617 latest experiment results,recovery/hlw4090/experiments_latest,True,393383352,375.16 MB,,Contains the 20260617 clean action-only 300-game eval outputs and candidate-expansion regression outputs.
P0,20260617-20260620 action-json experiments,recovery/hlw3090/experiments,True,590819172,563.45 MB,,"Contains action-scope/action-json adapters and scorecards, including 20260620 eval-schema repair provenance."
P0,missing task2_1 HICRA train dataset,recovery/autodl4090/data/task_n_hicra_preprocessed/20260504-task2_1-english/savi_alignment_train.jsonl,True,93392,91.20 KB,c0aeadfac88bc932c7eeb5d583b8f6298e8cd27048853d1e65ffbc551b3f8b3a,Missing dataset recovered from autodl4090; referenced by early HICRA/protocol training summaries.
P0,task2_3 full HICRA dataset,recovery/autodl4090/data/task_n_hicra_preprocessed/20260504-task2_3-english/savi_alignment_full_v3.jsonl,True,1228128,1.17 MB,cea7b8468be762ede2ea93d08e5ece48e6642881867fc83ddddfc0fed8788f8d,Full-state dataset also present on hlw4090/hlw3090; keep one canonical copy plus hashes.
P0,frozen value proxy model,recovery/hlw4090/models/proxy/value_proxy_mlp_distill.pt,True,14101,13.77 KB,b5d81dad7988386b12994947dc011ed18a6621e7e0f50fbd6de4ed811bc4d943,Small but important proxy model referenced by CRC/GRA and audit paths.
P0,root patches and git bundles,recovery/autodl4090/root_files,True,113191613,107.95 MB,,Most complete patch/bundle provenance set from autodl4090 root.
P1,20260510 best-main adapter,recovery/autodl4090/checkpoints/best_main_20260510_r2_delay_rerun3,True,92224251,87.95 MB,,"Recovered early protocol-mainline adapter; important historical baseline, not current best."
P1,hlw4090 code snapshot archive,recovery/hlw4090/archives/liars_bar_code_snapshot_20260616.tar.gz,True,111318859,106.16 MB,cc69adfbe8486e3d761c966e2bd7b1a1f4eeefb5b68ad641a55d9c89bc7bd1f5,Verified 20260616 code snapshot archive.
P1,hlw3090 recovered proxy copy,recovery/hlw3090/proxy/value_proxy_mlp_distill.pt,True,14101,13.77 KB,b5d81dad7988386b12994947dc011ed18a6621e7e0f50fbd6de4ed811bc4d943,Duplicate proxy copy for redundancy.
P1,legacy 20260429 datasets,recovery/hlw4090/data/legacy_20260429,True,3615261,3.45 MB,,Older alignment data for provenance fallback.
P1,combined local scorecard/indexes,recovery/combined_scorecard_summary.csv,True,23344,22.80 KB,31eced254a04ccdd1f8220827cb54c7fc1e642fbd4e0392d760dddc99f003b49,Machine-readable experiment index used by this report.
P2,autodl4090 lightweight experiment summaries,recovery/autodl4090/experiments_results,True,43665958,41.64 MB,,Lightweight result files from 85 remote experiment dirs; mostly overlaps hlw4090 but useful provenance.
